Entidad_federativa,Grupo_quinquenal_de_edad,Total,Hombres,Mujeres
Jalisco,100 años y más,1097,427,670
Jalisco,No especificado,77250,38986,38264
México,Total,13096686,6407213,6689473
México,0 a 4 años,1366320,693821,672499
México,5 a 9 años,1447047,731860,715187
México,10 a 14 años,1363554,689319,674235
México,15 a 19 años,1307977,645046,662931
México,20 a 24 años,1250900,600382,650518
México,25 a 29 años,1154041,548872,605169
México,30 a 34 años,1008308,480221,528087
México,35 a 39 años,883172,420989,462183
México,40 a 44 años,706988,341811,365177
México,45 a 49 años,535083,259150,275933
México,50 a 54 años,422987,206575,216412
México,55 a 59 años,303755,147106,156649
México,60 a 64 años,242540,114932,127608
México,65 a 69 años,178159,82133,96026
México,70 a 74 años,123108,56031,67077
México,75 a 79 años,84377,38231,46146
México,80 a 84 años,41618,17412,24206
México,85 a 89 años,25874,10056,15818
México,90 a 94 años,10206,3640,6566
México,95 a 99 años,6030,2107,3923
México,100 años y más,1792,656,1136
México,No especificado,632850,316863,315987
Michoacán de Ocampo,Total,3985667,1911078,2074589
Michoacán de Ocampo,0 a 4 años,453339,229097,224242
Michoacán de Ocampo,5 a 9 años,492453,248571,243882
Michoacán de Ocampo,10 a 14 años,498316,251262,247054
Michoacán de Ocampo,15 a 19 años,436043,207543,228500
Michoacán de Ocampo,20 a 24 años,357857,159888,197969
Michoacán de Ocampo,25 a 29 años,294099,132374,161725
Michoacán de Ocampo,30 a 34 años,255792,115836,139956
Michoacán de Ocampo,35 a 39 años,233456,107652,125804
Michoacán de Ocampo,40 a 44 años,196428,92879,103549
Michoacán de Ocampo,45 a 49 años,154267,73326,80941
Michoacán de Ocampo,50 a 54 años,132493,63146,69347
Michoacán de Ocampo,55 a 59 años,102326,48464,53862
Michoacán de Ocampo,60 a 64 años,94498,44526,49972
Michoacán de Ocampo,65 a 69 años,75177,35293,39884
Michoacán de Ocampo,70 a 74 años,61639,29772,31867
Michoacán de Ocampo,75 a 79 años,42177,20718,21459
Michoacán de Ocampo,80 a 84 años,25242,11868,13374
Michoacán de Ocampo,85 a 89 años,15131,7120,8011
Michoacán de Ocampo,90 a 94 años,6983,3189,3794
Michoacán de Ocampo,95 a 99 años,3764,1592,2172
Michoacán de Ocampo,100 años y más,1216,537,679
Michoacán de Ocampo,No especificado,52971,26425,26546
Morelos,Total,1555296,750799,804497
Morelos,0 a 4 años,160901,81500,79401
Morelos,5 a 9 años,173589,87866,85723
Morelos,10 a 14 años,166002,84615,81387
Morelos,15 a 19 años,156544,76095,80449
Morelos,20 a 24 años,137988,63439,74549
Morelos,25 a 29 años,123189,56284,66905
Morelos,30 a 34 años,109174,50137,59037
Morelos,35 a 39 años,100957,46951,54006
Morelos,40 a 44 años,84779,40113,44666
Morelos,45 a 49 años,66776,32002,34774
Morelos,50 a 54 años,53966,26075,27891
Morelos,55 a 59 años,41813,19884,21929
Morelos,60 a 64 años,36295,16989,19306
Morelos,65 a 69 años,30268,14059,16209
Morelos,70 a 74 años,22033,10422,11611
Morelos,75 a 79 años,15196,7330,7866
Morelos,80 a 84 años,7620,3490,4130
Morelos,85 a 89 años,4953,2138,2815
Morelos,90 a 94 años,2081,912,1169
Morelos,95 a 99 años,1260,541,719
Morelos,100 años y más,409,154,255
Morelos,No especificado,59503,29803,29700
Nayarit,Total,920185,456105,464080
Nayarit,0 a 4 años,100288,51107,49181
Nayarit,5 a 9 años,107577,54727,52850
Nayarit,10 a 14 años,107654,54737,52917
Nayarit,15 a 19 años,97866,49021,48845
Nayarit,20 a 24 años,81566,38786,42780
Nayarit,25 a 29 años,72014,34447,37567
Nayarit,30 a 34 años,62272,29734,32538
Nayarit,35 a 39 años,57414,27608,29806
Nayarit,40 a 44 años,49594,24008,25586
Nayarit,45 a 49 años,40204,19711,20493
Nayarit,50 a 54 años,33520,16820,16700
Nayarit,55 a 59 años,27584,13924,13660
Nayarit,60 a 64 años,23746,11964,11782
Nayarit,65 a 69 años,18487,9317,9170
Nayarit,70 a 74 años,13556,6913,6643
Nayarit,75 a 79 años,9933,4981,4952
Nayarit,80 a 84 años,6070,2902,3168
Nayarit,85 a 89 años,3838,1826,2012
Nayarit,90 a 94 años,1450,682,768
Nayarit,95 a 99 años,680,316,364
Nayarit,100 años y más,238,110,128
Nayarit,No especificado,4634,2464,2170
Nuevo León,Total,3834141,1907939,1926202
Nuevo León,0 a 4 años,396563,201948,194615
Nuevo León,5 a 9 años,385771,196456,189315
Nuevo León,10 a 14 años,355194,180250,174944
Nuevo León,15 a 19 años,373807,187079,186728
Nuevo León,20 a 24 años,391235,195585,195650
Nuevo León,25 a 29 años,369135,183270,185865
Nuevo León,30 a 34 años,322572,158942,163630
Nuevo León,35 a 39 años,272200,134659,137541
Nuevo León,40 a 44 años,224330,110097,114233
Nuevo León,45 a 49 años,168680,82616,86064
Nuevo León,50 a 54 años,144499,70886,73613
Nuevo León,55 a 59 años,109729,53878,55851
Nuevo León,60 a 64 años,92626,44938,47688
Nuevo León,65 a 69 años,65875,31411,34464
Nuevo León,70 a 74 años,48611,22607,26004
Nuevo León,75 a 79 años,33324,15550,17774
Nuevo León,80 a 84 años,17528,7667,9861
Nuevo León,85 a 89 años,10634,4424,6210
Nuevo León,90 a 94 años,4154,1677,2477
Nuevo León,95 a 99 años,1741,664,1077
Nuevo León,100 años y más,380,164,216
Nuevo León,No especificado,45553,23171,22382
Oaxaca,Total,3438765,1657406,1781359
Oaxaca,0 a 4 años,395993,200413,195580
Oaxaca,5 a 9 años,458507,230819,227688
Oaxaca,10 a 14 años,443874,224737,219137
Oaxaca,15 a 19 años,364876,177322,187554
Oaxaca,20 a 24 años,288035,130967,157068
Oaxaca,25 a 29 años,239657,109330,130327
Oaxaca,30 a 34 años,213839,98179,115660
Oaxaca,35 a 39 años,199131,92160,106971
Oaxaca,40 a 44 años,167187,78342,88845
